Artist,Title,ReleaseDates,Certification,Label,Sales,Hit,Hit Youtube,CertificationNum
2 Chainz,Based on a T.R.U. Story,8/14/12,Platinum,Def Jam,6.23E+05,Birthday Song,https://www.youtube.com/watch?v=Y34jC4I1m70,1
2 Chainz,Pretty Girls Like Trap Music,6/16/17,Gold,Def Jam,5.00E+05,It's a Vibe,https://www.youtube.com/watch?v=tU3p6mz-uxU,0.5
21 Savage,Issa Album,7/7/17,Gold,Epic,5.00E+05,Bank Account,https://www.youtube.com/watch?v=tU3p6mz-uxU,0.5
21 Savage,Without Warning,10/31/17,Gold,Epic,NA,Ric Flair Drip,https://www.youtube.com/watch?v=LPTlvQ1Zet0,0.5
6lack,Free 6lack,11/13/17,Gold,Interscope,NA,Ex Calling,https://www.youtube.com/watch?v=4Rh0228Xx0A,0.5
Arrested Development,"3 Years, 5 Months and 2 Days in the Life Of…",3/24/92,4x Platinum,Chrysalis,NA,People Everyday,https://www.youtube.com/watch?v=cGusP7aCCYc,4
Arrested Development,Unplugged,3/1/93,Gold,Chrysalis,NA,NA,NA,0.5
Arrested Development,Zingalamaduni,6/14/94,Silver,Chrysalis,NA,Ease My Mind,https://www.youtube.com/watch?v=TEaS0_phG8o,0.1
Childish Gambino,Because the Internet,12/10/13,Gold,Universal,5.25E+05,V. 3005,https://www.youtube.com/watch?v=tG35R8F2j8k,0.5
Childish Gambino,"""Awaken, My Love!""",12/2/16,Platinum,Universal,1.00E+05,Redbone,https://www.youtube.com/watch?v=Kp7eSUU9oy8,1
Cee-Lo,The Lady Killer,11/9/10,2x Platinum,"Elektra, Asylum",NA,Fuck You,https://www.youtube.com/watch?v=bKxodgpyGec,2
Future,Pluto,4/17/12,Gold,Epic,NA,Turn On the Lights,https://www.youtube.com/watch?v=zIrhcTkHX_A,0.5
Future,Honest,4/22/14,Gold,Epic,NA,Honest,https://www.youtube.com/watch?v=FAeAp9MzPtk,0.5
Future,DS2,7/17/15,2x Platinum,Epic,NA,Where Ya At,https://www.youtube.com/watch?v=lw3Or6eqIpI,2
Future,EVOL,2/6/16,Platinum,Epic,NA,Low Life,https://www.youtube.com/watch?v=K_9tX4eHztY,1
Future,Future,2/17/17,Platinum,Epic,NA,Mask Off,https://www.youtube.com/watch?v=xvZqHgFz51I,1
Future,Hndrxx,2/24/17,Gold,Epic,NA,You da Baddest,https://www.youtube.com/watch?v=2DBBb3_p8eg,0.5
Goodie Mob,Soul Food,11/7/95,Gold,LaFace,NA,Cell Therapy,https://www.youtube.com/watch?v=OGy4bmG5SJw,0.5
Goodie Mob,Still Standing,4/7/98,Gold,LaFace,NA,They Don't Dance No Mo',https://www.youtube.com/watch?v=vDmGnGueik8,0.5
Goodie Mob,World Party,12/21/99,Gold,LaFace,NA,Get Rich to This,https://www.youtube.com/watch?v=AQaMMJQwtgM,0.5
Gucci Mane,"The State vs. Radric Davis
",12/8/09,Gold,"Warner Bros., 1017 Records, Asylum",NA,Lemonade,https://www.youtube.com/watch?v=H6Q4s_ZdvAQ,0.5
Gucci Mane,"Mr. Davis
",10/13/17,Gold,"GUWOP, Atlantic",NA,I Get the Bag,https://www.youtube.com/watch?v=uo14xGYwWd4,0.5
Jermaine Dupri,Life in 1472,7/21/98,Platinum,"So So Def, Columbia",NA,Money Ain't a Thang,https://www.youtube.com/watch?v=tkHLVKfXAoE,1
Kris Kross,Totally Krossed Out,3/31/92,4x Platinum,Ruffhouse/Columbia Records,NA,Jump,https://www.youtube.com/watch?v=010KyIQjkTk,4
